TurbID,x,y,grid_x,grid_y
1,3349.8515,5939.23193,3,12
2,3351.0017,6419.23193,3,13
3,3314.7797,6900.23193,3,14
4,3352.094,7380.23193,3,15
5,3355.342,7860.23193,3,16
6,3329.4284,8340.23193,3,17
7,3360.5473,8816.23834,3,18
8,3360.2992,9265.21442,3,19
9,3359.9419,10696.54549,3,22
10,3361.2616,11171.77916,3,23
11,3244.0619,11646.05877,3,24
12,3286.7788,12121.00426,3,26
13,3326.2552,244.02595,3,0
14,3328.7796,719.04816,3,1
15,3329.7588,1194.28795,3,2
16,3333.9042,1658.25733,3,3
17,3334.2558,2140.55426,3,4
18,3336.8477,2615.58831,3,5
19,3338.8861,3090.44941,3,6
20,3361.0339,3566.91886,3,7
21,3249.0218,4043.58605,3,8
22,3250.8602,4519.34673,3,9
23,3346.8376,4989.86182,3,10
24,3322.2136,5465.8856,3,11
25,4260.8151,5699.75016,4,12
26,4328.53,6171.98539,4,13
27,4331.9147,6650.66702,4,14
28,4373.2043,7122.6401,4,15
29,4267.1024,7597.96708,4,16
30,4333.9194,8075.09406,4,17
31,4363.0583,9974.68922,4,21
32,4341.538,10448.7068,4,22
33,4341.2239,10923.51197,4,23
34,4475.873,11359.03927,4,24
35,4305.956,11874.6941,4,25
36,4303.7037,0.0,4,0
37,4306.233,473.27282,4,1
38,4308.0735,949.48701,4,2
39,4310.2121,1424.7466,4,3
40,4312.2476,1901.0316,4,4
41,4353.3118,2373.37382,4,5
42,4315.7548,2851.53764,4,6
43,4357.3789,3325.82225,4,7
44,4320.3892,3800.20052,4,8
45,4320.6831,4245.29983,4,9
46,4349.2935,4748.01915,4,10
47,4418.2569,5250.99853,4,11
48,5501.4529,5458.61691,6,11
49,5239.0025,5933.88235,5,12
50,5283.0121,6408.29573,5,13
51,5309.2053,6882.09493,5,14
52,5182.8594,8810.61678,5,18
53,5289.465,9287.65496,5,19
54,5317.0343,9736.40115,5,20
55,5340.0893,10182.55459,5,21
56,5384.8995,10690.89613,5,22
57,5360.5356,11165.39719,5,23
58,5279.4781,231.50508,5,0
59,5285.9086,707.18265,5,1
60,5287.3353,1181.28512,5,2
61,5316.6078,1660.98299,5,3
62,5291.8141,2131.70346,5,4
63,5292.8255,2605.73505,5,5
64,5296.0205,3109.64256,5,6
65,5256.8079,3557.32759,5,7
66,5298.3107,4032.58132,5,8
67,5303.0059,4512.23649,5,9
68,5343.7185,4955.5575,5,10
69,1970.7969,5721.27578,2,12
70,2012.9322,6197.04607,2,13
71,1971.5207,6740.61014,2,14
72,2001.7513,7146.10095,2,15
73,1977.0235,7622.8578,2,16
74,1974.6634,8093.11429,2,17
75,2017.4857,8572.23882,2,18
76,1980.9697,9047.21395,2,19
77,1982.9086,9520.0003,2,20
78,2020.142,10003.91653,2,21
79,1981.1668,10475.97878,2,22
80,1873.4535,501.78149,2,1
81,1950.4976,974.44324,2,2
82,2041.5691,1404.91619,2,3
83,1953.9862,1922.45644,2,4
84,1954.9133,2399.67753,2,5
85,1961.5475,2873.83659,2,6
86,1961.2125,3349.21476,2,7
87,2016.8768,3821.28985,2,8
88,1967.4231,4297.3679,2,9
89,1988.9609,4770.76413,2,10
90,1970.654,5247.32771,2,11
91,1017.8906,6941.41909,1,14
92,1035.7611,7403.51736,1,15
93,1035.6523,7851.07697,1,16
94,1024.2895,8354.88271,1,17
95,1024.0701,8829.17894,1,18
96,1002.5359,9303.89084,1,19
97,1016.791,9830.6455,1,21
98,1064.6639,10259.40545,1,22
99,1001.5682,10737.13956,1,23
100,1003.5004,11210.56368,1,24
101,1005.4042,11685.24357,1,25
102,952.5796,1710.25706,1,3
103,965.8279,2210.0841,1,4
104,1029.4748,2642.20182,1,5
105,977.7406,3134.45235,1,6
106,1013.8914,3609.00665,1,7
107,927.8242,4086.1899,1,8
108,1022.895,4557.30585,1,9
109,1025.7875,5033.51128,1,10
110,1014.3173,5509.0799,1,11
111,988.6922,5982.41676,1,12
112,988.7497,6455.04406,1,13
113,9.637399999,7189.28109,0,15
114,41.4225,7662.24037,0,16
115,27.2828,8136.77274,0,17
116,16.9467,8612.70454,0,18
117,17.3727,9086.27586,0,19
118,18.2145,9561.27009,0,20
119,19.0503,10044.40534,0,21
120,32.1355,10516.75637,0,22
121,34.0338,10994.26663,0,23
122,19.1439,11470.36638,0,24
123,61.335,11944.36985,0,25
124,0.0,1975.47494,0,4
125,18.6945,2425.30767,0,5
126,8.535,2898.76489,0,6
127,31.2394,3372.18094,0,7
128,68.4751,3862.0351,0,8
129,19.5283,4309.05443,0,9
130,12.6509,4814.6004,0,10
131,23.3458,5284.65439,0,11
132,62.6774,5749.90633,0,12
133,78.4309,6231.32903,0,13
134,11.3385,6713.46517,0,14
