TurbID,Day,Tmstamp,Wspd,Wdir,Etmp,Itmp,Ndir,Pab1,Pab2,Pab3,Prtv,Patv
69,1,00:00,,,,,,,,,,
69,1,00:10,5.39,-2.22,31.45,45.16,-3.76,0.65,0.65,0.65,-0.23,348.7
69,1,00:20,5.43,-6.12,31.38,45.06,-3.76,0.04,0.04,0.04,-0.22,352.75
69,1,00:30,5.86,-6.27,31.26,44.89,-3.76,0.5,0.5,0.5,-0.23,405.66
69,1,00:40,5.71,-6.02,31.2,44.82,-3.76,0.04,0.04,0.04,-0.23,379.33
69,1,00:50,5.09,-7.11,31.14,44.73,-6.18,0.02,0.02,0.02,-0.23,293.53
69,1,01:00,5.38,5.25,31.03,44.58,-16.3,0.03,0.03,0.03,-0.23,342.46
69,1,01:10,5.33,0.85,30.9,44.35,-16.3,0.02,0.02,0.02,-0.24,338.98
69,1,01:20,5.02,-1.18,30.81,44.28,-16.3,0.02,0.02,0.02,-0.2,302.88
69,1,01:30,4.82,-0.09,30.67,44.22,-16.3,0.02,0.02,0.02,-0.24,272.37
69,1,01:40,5.35,0.19,30.53,44.02,-16.3,0.02,0.02,0.02,-0.2,344.33
69,1,01:50,5.75,-5.89,30.38,43.92,-16.3,0.02,0.02,0.02,-0.22,368.09
69,1,02:00,5.76,-8.39,30.29,43.79,-16.3,0.03,0.02,0.02,-0.23,367.0
69,1,02:10,5.87,-10.47,30.29,43.74,-16.3,0.03,0.03,0.03,-0.22,397.97
69,1,02:20,6.04,-7.09,30.3,43.69,-16.3,0.04,0.04,0.04,-0.21,428.99
69,1,02:30,5.88,-4.2,30.4,43.69,-16.3,0.58,0.58,0.58,-0.22,403.6
69,1,02:40,5.63,-5.9,30.29,43.64,-21.49,0.8,0.8,0.8,-0.22,382.18
69,1,02:50,5.79,-2.63,30.29,43.6,-28.84,1.17,1.17,1.17,-0.22,408.71
69,1,03:00,5.95,-4.6,30.29,43.59,-28.84,1.14,1.14,1.14,-0.21,417.91
69,1,03:10,5.76,-2.24,30.35,43.61,-28.84,0.93,0.93,0.93,-0.23,415.98
69,1,03:20,5.74,-0.04,30.4,43.66,-28.84,0.94,0.94,0.94,-0.2,428.91
69,1,03:30,5.5,0.05,30.38,43.6,-28.84,0.05,0.05,0.05,-0.19,385.81
69,1,03:40,5.74,-3.53,30.34,43.66,-28.84,0.88,0.88,0.88,-0.22,389.2
69,1,03:50,6.12,-8.49,30.29,43.67,-28.84,1.37,1.37,1.38,-0.23,438.52
69,1,04:00,6.68,-3.14,30.29,43.62,-38.68,5.04,5.04,5.04,-0.24,449.67
69,1,04:10,6.74,2.38,30.29,43.49,-41.35,6.22,6.22,6.22,-0.22,439.24
69,1,04:20,7.74,7.74,30.4,43.4,-39.8,8.24,8.24,8.24,-0.22,448.0
69,1,04:30,8.4,-1.94,30.63,43.47,-28.81,9.57,9.57,9.57,-0.22,457.05
69,1,04:40,9.05,-5.16,30.71,43.5,-28.81,10.36,10.36,10.36,-0.19,443.64
69,1,04:50,8.87,-5.04,30.76,43.49,-28.81,10.13,10.13,10.13,-0.25,441.18
