date,T,yun,sfs,zjfs,zfs,js,sd,Target
2020/1/1 0:00,-5.7,25.6,0,0,0,3.6,52.8,0
2020/1/1 0:15,-5.8,25.2,0,0,0,3.6,53.2,0
2020/1/1 0:30,-6,29.2,0,0,0,3.6,53.8,0
2020/1/1 0:45,-6.1,30.7,0,0,0,3.6,54.3,0
2020/1/1 1:00,-6.2,30.8,0,0,0,3.6,54.9,0
2020/1/1 1:15,-6.4,30.8,0,0,0,3.5,55.3,0
2020/1/1 1:30,-6.5,30.8,0,0,0,3.5,55.6,0
2020/1/1 1:45,-6.6,30.8,0,0,0,3.5,56,0
2020/1/1 2:00,-6.7,30.9,0,0,0,3.5,56.3,0
2020/1/1 2:15,-6.9,41.4,0,0,0,3.5,56.7,0
2020/1/1 2:30,-7,41.8,0,0,0,3.5,57.3,0
2020/1/1 2:45,-7.2,25.1,0,0,0,3.5,57.8,0
2020/1/1 3:00,-7.4,22.6,0,0,0,3.5,58.4,0
2020/1/1 3:15,-7.5,18.9,0,0,0,3.5,58.7,0
2020/1/1 3:30,-7.6,21.2,0,0,0,3.5,58.9,0
2020/1/1 3:45,-7.7,14.8,0,0,0,3.6,59,0
2020/1/1 4:00,-7.7,21.2,0,0,0,3.6,59.2,0
2020/1/1 4:15,-7.8,30.7,0,0,0,3.6,59.1,0
2020/1/1 4:30,-7.7,30.8,0,0,0,3.6,58.7,0
2020/1/1 4:45,-7.7,30.9,0,0,0,3.6,58.3,0
2020/1/1 5:00,-7.6,31,0,0,0,3.6,58,0
2020/1/1 5:15,-7.6,31,0,0,0,3.6,57.8,0
2020/1/1 5:30,-7.6,31,0,0,0,3.6,57.7,0
2020/1/1 5:45,-7.6,31,0,0,0,3.6,57.6,0
2020/1/1 6:00,-7.6,30.9,0,0,0,3.6,57.5,0
2020/1/1 6:15,-7.6,30.4,0,0,0,3.7,57.5,0
2020/1/1 6:30,-7.6,30.8,0,0,0,3.7,57.5,0
2020/1/1 6:45,-7.6,30.8,0,0,0,3.7,57.5,0
