Patv,Wspd,Ndir,Pab1,Pab2,Pab3,Target
494.66,6.17,25.92,1,1,1,494.66
509.76,6.27,20.91,1,1,1,509.76
542.53,6.42,20.91,1,1,1,542.53
509.36,6.25,20.91,1,1,1,509.36
482.21,6.1,20.91,1,1,1,482.21
584.75,6.77,20.91,1,1,1,584.75
557.98,6.7,20.91,1,1,1,557.98
503.94,6.44,20.91,1,1,1,503.94
463.37,6.25,20.91,1,1,1,463.37
577.47,6.87,20.91,1,1,1,577.47
538.85,6.6,16.87,1,1,1,538.85
559.37,6.71,13.32,1,1,1,559.37
585.51,6.86,13.32,1,1,1,585.51
608.83,6.88,13.32,1,1,1,608.83
675.43,7.1,13.32,1,1,1,675.43
716.68,7.16,7.92,1,1,1,716.68
629.83,6.8,2.87,1,1,1,629.83
651.13,6.85,-1.86,1,1,1,651.13
677.56,6.85,2.66,1,1,1,677.56
619.05,6.57,5.73,1,1,1,619.05
576.73,6.36,5.73,1,1,1,576.73
665.23,6.88,1.42,1,1,1,665.23
761.74,7.32,-1.86,1,1,1,761.74
898.34,7.92,-7.79,1,1,1,898.34
867.22,7.73,-9.46,1,1,1,867.22
1048.81,8.46,-7.77,1,1,1,1048.81
1137.1,8.81,-1.85,1,1,1,1137.1
1207.96,9.23,-1.83,1,1,1,1207.96
1239.41,9.45,-1.83,1,1,1,1239.41
1179.6,9.4,-1.83,1,1,1,1179.6
1183.42,9.5,-1.83,1,1,1,1183.42
1036.78,8.93,-1.83,1,1,1,1036.78
848.96,8.09,-1.83,1,1,1,848.96
748.75,7.77,-1.83,1,1,1,748.75
809.36,7.99,-7.4,1,1,1,809.36
821.64,8.01,-9.42,1,1,1,821.64
816.59,8.06,-12.16,1,1,1,816.59
1118.95,9.11,-21.32,1,1,1,1118.95
1476.3,10.96,-30.46,1.01,1.01,1.01,1476.3
1539.55,12.81,-23.73,1.07,1.07,1.07,1539.55
1550.02,13.43,-23.73,1.09,1.09,1.09,1550.02
1550.1,12.83,-23.73,1.07,1.07,1.07,1550.1
1549.86,12.65,-23.73,1.07,1.07,1.07,1549.86
1550.15,12.52,-23.73,1.06,1.06,1.06,1550.15
1549.96,13.25,-23.73,1.08,1.08,1.08,1549.96
1549.88,13.48,-23.73,1.08,1.08,1.08,1549.88
1549.55,13.04,-23.73,1.07,1.07,1.07,1549.55
1549.53,12.23,-23.73,1.07,1.07,1.07,1549.53
1549.71,11.58,-23.7,1.06,1.06,1.06,1549.71
1534.77,11.21,-28.84,1.04,1.04,1.04,1534.77
1508.2,10.84,-31.39,1.03,1.03,1.03,1508.2
1517.76,11.03,-31.39,1.03,1.03,1.03,1517.76
1549.79,12.23,-27.37,1.07,1.07,1.07,1549.79
1529.05,12.19,-23.69,1.07,1.07,1.07,1529.05
1549.62,13.51,-23.69,1.1,1.1,1.1,1549.62
1546.67,11.93,-23.69,1.06,1.06,1.06,1546.67
1508.7,11.31,-23.69,1.04,1.04,1.04,1508.7
1543.42,11.56,-23.69,1.05,1.05,1.05,1543.42
1510.53,11.43,-18.9,1.04,1.04,1.04,1510.53
1524.19,11.29,-21.49,1.04,1.04,1.04,1524.19
